id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
2896852,None,None,No,Machine wash or professional dry clean,None,Multicolor,"95% Polyester, 5% Elastane",Wrap,Medium Stretch,Slim Fit,Pencil,Short,None,Polyester,Deep V Neck,"Colorblock, Leopard",None,Spring/Summer,No,None,Long Sleeve,Regular Sleeve,Elegant,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/28/1624850108f317b9404775897546bf94064bc43c6f_thumbnail_405x552.jpg,US$17.74
2896885,None,None,Unlined,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Elastane",None,Slight Stretch,Slim Fit,Pencil,Short,None,Polyester,Off the Shoulder,Plain,None,Spring/Summer,No,None,Long Sleeve,Regular Sleeve,Elegant,Bodycon,None,http://img.ltwebstatic.com/images3_pi/2021/06/28/1624849532a47afac5c07251e5b05f1e18b96d68d4_thumbnail_405x552.jpg,US$17.74
2906694,None,None,None,Machine wash or professional dry clean,None,Green,"95% Polyester, 5% Elastane",Cut Out,Slight Stretch,Slim Fit,Pencil,Short,None,Polyester,Off the Shoulder,Plain,None,Summer,No,None,Short Sleeve,Regular Sleeve,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/07/1625622712e1dbb2208db9810f7a35582159b93929_thumbnail_405x552.jpg,US$19.01
2911419,None,None,Unlined,Machine wash or professional dry clean,No Padding,White,"95% Polyester, 5% Elastane","Backless, Ruched, Ring",High Stretch,Slim Fit,Pencil,Mini,None,Polyester,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/16/1623822533fc33b099ce4a4f6bc336e544ea3af77f_thumbnail_405x552.jpg,US$25.39
2914535,None,None,None,Machine wash or professional dry clean,None,Mauve Purple,100% Polyester,"Ruffle, Ruched",Non-Stretch,Regular Fit,Flared,Midi,None,Polyester,Square Neck,Plain,None,Summer,No,None,Short Sleeve,Puff Sleeve,Casual,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/01/16251083774206410ae4877e6a1e7ad1eceffce21c_thumbnail_405x552.jpg,US$15.18
2922514,None,None,None,Machine wash or professional dry clean,None,Teal Blue,100% Polyester,"Contrast Lace, Zipper",Slight Stretch,Regular Fit,Flared,Short,None,Polyester,Scoop Neck,Plain,None,Summer,No,None,Short Sleeve,Regular Sleeve,Elegant,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/22/1624337074f290c7bf4d208ad5346b4f04c9b7840b_thumbnail_405x552.jpg,US$19.01
2927125,None,None,None,Machine wash or professional dry clean,None,Lime Green,100% Polyester,None,Non-Stretch,Regular Fit,Flared,Short,None,Recycle Polyester,V neck,Ditsy Floral,None,Summer,No,None,Half Sleeve,Puff Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/30/162501967890cf097eb1b076a2f773f300b5255999_thumbnail_405x552.jpg,US$11.36
2943311,None,None,Unlined,Machine wash or professional dry clean,None,Orange,"95% Polyester, 5% Elastane","Wrap, Ruched",Slight Stretch,Slim Fit,Pencil,Short,None,Polyester,Deep V Neck,Plain,None,Spring/Summer,No,None,Long Sleeve,Regular Sleeve,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/02/1625205892010e32825a577e4ab0fbea8f1a6fe18d_thumbnail_405x552.jpg,US$21.56
2947056,None,None,No,Machine wash or professional dry clean,None,Multicolor,100% Polyester,"Ruffle Hem, Shirred",Non-Stretch,Regular Fit,Flounce,Long,None,Polyester,Off the Shoulder,"Graphic, Plants",None,Spring/Summer,No,None,Short Sleeve,Flounce Sleeve,Casual,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/26/1627265930066c33a4a556c0fe6633bfe3591b6588_thumbnail_405x552.jpg,US$24.12
2949541,None,None,None,Machine wash or professional dry clean,None,Green,100% Polyester,"Ruffle, Zipper",High Stretch,Regular Fit,Flared,Long,None,Polyester,Off the Shoulder,Plain,None,All,No,None,Short Sleeve,Puff Sleeve,Glamorous,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/14/1626266220bf0c087a1a46cf2311d729a5bfbb643d_thumbnail_405x552.jpg,US$40.70
2967169,None,None,None,Machine wash or professional dry clean,None,Mint Green,"95% Polyester, 5% Elastane","Ruched, Button Front",High Stretch,Slim Fit,Pencil,Mini,None,Polyester,Collar,Plain,None,Spring,No,None,Long Sleeve,Regular Sleeve,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/09/14/16316161271b3c0e0687cca5cba48a5ad71e779eff_thumbnail_405x552.jpg,US$13.91
2967390,None,Yes,None,Machine wash or professional dry clean,None,Orange,100% Polyester,"Ruffle, Wrap, Ruffle Hem, Knot",Non-Stretch,Regular Fit,Wrap,Short,None,Polyester,Spaghetti Strap,All Over Print,None,Summer,No,None,Sleeveless,None,Boho,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/29/16249548370a0dff3804f2d11a71ae06d675ea3bbb_thumbnail_405x552.jpg,US$15.18
